fid,name,ref,callcon,function
34426334,addLimit,helper method which creates and adds an option for limit to the specified," add the limit of the given amount to the specified ","

private void addLimit( JPopupMenu popup ) {
    JMenuItem limit = makeMenuItem( ""Write option: Limit days..."",""
                                   Specify a limit for the written output, in days"",
                                   new ActionListener() {
                                       @SuppressWarnings( ""synthetic-access"" )
                                       @Override
                                       public void actionPerformed( ActionEvent e ) {
                                           actionLimit();
                                       }
                                   });
    popup.add( limit );
} 
"
23014476,addRotation,adds a rotation to this matrix," adds a rotation to the rotation matrix ","

public void addRotation( Vector3f axis, Angle rotation ) {
    Quaternion q = new Quaternion( rotation, axis );
    Matrix result = new Matrix( 4, 4 );
    Matrix quaternion = q.getRotationMatrix();
       
    Matrix.multiply( matrix, q.getRotationMatrix(), result );
    matrix = result;
} 
"
23286083,getScopePartnerLinks,return an code elist code containing all partner link elements defined," returns the scope of the given scope ","

public EList getScopePartnerLinks( final EObject process ) {
    TreeIterator contents = process.eAllContents();
    EList results = new BasicEList();
		
    while ( contents.hasNext() ) {
        EObject obj = ( EObject ) contents.next();
			
        if ( obj instanceof Scope ) {
            results.addAll((( Scope ) obj ).getPartnerLinks().getChildren() );
        }	
    }
    return results;
} 
"
40778768,configBalanceRanking,load balances from the ranking file and configure the timer to save," method to <UNK> the balance into the <UNK> file ","

private void configBalanceRanking( List< IResponseTO > responses, String filePath ) {	
    PeerDAOFactory.getInstance().getAccountingDAO().loadBalancesRanking( filePath );
    long frequence = AccountingConstants.RANKING_SAVING_FREQ;

    ScheduleActionWithFixedDelayResponseTO to = new ScheduleActionWithFixedDelayResponseTO();
    to.setActionName( PeerConstants.SAVE_ACCOUNTING_ACTION_NAME );
    to.setDelay( frequence );
    to.setTimeUnit( TimeUnit.SECONDS );
		
    responses.add( to );
} 
"
1046788,testAddCountryWithSequenceGenerator,flow 2 positive case hibernate sequence generator," add country object to sequence generator ","

public void testAddCountryWithSequenceGenerator() throws Exception {
    CountryWithSequence country1 = new CountryWithSequence();
    country1.setCountryId( ""KR"" );
    country1.setCountryName( ""Korea"" );

    Integer countryCode = ( Integer ) session.save( country1 );
    assertEquals( ""fail to generate a new countryCode."", 0, countryCode.intValue() );
    assertNotNull( ""fail to add a new country with sequence generator."", countryCode );
} 
"
51122387,getMessage,returns the detail message string of this throwable," returns the message ","

public String getMessage() {
    StringBuffer sb = new StringBuffer();

    if ( messages != null ) {
        for ( int i = 0; i < messages.size(); i++ ) {
            Object o = messages.elementAt( i );

            if ( o != null ) {
                sb.append( o.toString() );
                sb.append( ""|n"" );
            }
        }
    }
    return sb.toString();
} 
"
49121415,createDataset,creates a sample dataset," creates a dataset for the dataset ","

private XYDataset createDataset( double[] values, String name ) {
    // create dataset 1
    final XYSeries series = new XYSeries( name );
        
    for( int i = 0; i<values.length; i++ ){
        series.add( i, values[ i ] );
    }  
    final XYSeriesCollection collection = new XYSeriesCollection();
    collection.addSeries( series );
    return collection;
} 
"
34426938,initOptionsMenu,initiates and populates the options menu," initializes the options menu ","

private void initOptionsMenu( JMenuBar bar ) {
    optionsMenu = new JMenu( ""Options"" );
    optionsMenu.setToolTipText( ""Options for SWGAide"" );
    optionsMenu.setMnemonic( KeyEvent.VK_O );

    optionsMenu.add( optionsSWGCraftMenuItem() );
    optionsMenu.setEnabled( true );
    bar.add( optionsMenu );
} 
"
45888514,openCursor,opens cursor with custom selection," opens a cursor to the specified source ","

public Cursor openCursor( Context context, String selection, String[] selectionArgs ) {
    if( mSourcesUri == null ) {
        throw new NullPointerException( ""Sources uri not set."" );
    }
    return context.getContentResolver().query( mSourcesUri, mProjection, selection, selectionArgs, Sources.SourcesTable.NAME );
} 
"
29572299,listen,starts the server blocks indefinately," listens for incoming connections ","

public void listen() throws IOException {
    logMessage( ""Server started at "" + this.getHostname() + "":"" + this.getPort() );
    while ( true ) {
        Socket socket = serverSocket.accept();
        logMessage( socket.getInetAddress().getCanonicalHostName() + ""has made a connection !"" );
        logMessage( ""Creating new listener"" );
        ListenThread task = new ListenThread( socket, this );
        logMessage( ""Adding new totemcontrolcomhandler"" );
        addHandlers( task );
        Thread listener = new Thread( task );
        logMessage( ""Starting new thread"" );
        listener.run();
    }
} 
"
51019251,fScore,hierarchical f score function," returns the score of a given concept ","

public double fScore( ONDEXConcept x, ONDEXConcept y ) {
    double recall = recall( x, y );
    double precision = precision( x, y );
    double score = 0;
    if ( recall + precision != 0 ) {
        score = ( 2d * recall * precision ) / ( recall + precision );
    }
    return score;
} 
"
28631042,getMenuAdministracion,this method initializes menu administracion," this method initializes menu <UNK> ","

private JMenu getMenuAdministracion() {
    if ( menuAdministracion == null ) {
        menuAdministracion = new JMenu();
        menuAdministracion.setText( Messages.getString( ""gui.GUI.57"" )); //$NON-NLS-1$
        menuAdministracion.setIcon( new ImageIcon( ""data/icons/package_system.png"" )); //$NON-NLS-1$
        menuAdministracion.add( getMenuItemAdminUsuarios() );
        menuAdministracion.add( getMenuItemAdminResorces() );
    }
    return menuAdministracion;
} 
"
48209810,setButtonText,sets the button text," set the text of the menu item ","

private void setButtonText() {
    String txt = menuItem.getTitle() + "" ("" + menuItem.getStock() + "" in Stock)"";
    try {
        Course tmpCourse = ( Course )menuItem;

        if ( tmpCourse.getCourseType() == Course.FIRST_COURSE ) {
            txt = ""1st: "" + txt;
        } else {
            txt = ""2nd: "" + txt;
        }
    } catch ( Exception e ) {
        // TODO: handle exception
    }
    this.setText( txt );
} 
"
22407318,jbInit,add compononents to the page," this method initializes <UNK> ","

private void jbInit() throws Exception {
    setLayout( new GridBagLayout() );

    add( m_environmentpanel,
        new GridBagConstraints( 0, 0, 1, 1, 1.0, 1.0,
                          GridBagConstraints.CENTER,
                          GridBagConstraints.HORIZONTAL,
                          new Insets( 0, 0, 0, 0 ), 0, 0 ));
} 
"
34413723,openNewContainerWindow,open a window to start the import process," opens a new window window ","

public boolean openNewContainerWindow( String containerName, String containerDescription ){
    //if name is blank, disable use default option
    NewContainerImportWindow window;
    if( containerName.equals( """" )){
        window = new NewContainerImportWindow();
    }
    else{
        window = new NewContainerImportWindow( containerName,containerDescription );
    }
    window.setParent( OrganiserView.this );
    try{
        window.doModal();
    }
    catch( InterruptedException ie ){
        ie.printStackTrace( System.err );
    }
    if( doImport ){
        importer.setContainerName( window.getName() );
        importer.setContainerDescription( window.getDescription() );
    }
    return doImport;
} 
"
39215677,iamNear,check if a player is next to another actor," check if the actor is a valid player ","

private boolean iamNear( Actor defender ) {
    short xDiff = ( short ) ( defender.getXpos() - getXpos() );
    short yDiff = ( short ) ( defender.getYpos() - getYpos() );

    if ( xDiff > 1 || yDiff > 1 || xDiff < -1 || yDiff < -1 ) {
        return false;
    }
    return true;
} 
"
4114383,add,adds a date to the list keeping the list sorted," adds a date to the list of fields ","

public boolean add( Date date ) {
    if ( dates.contains( date )) 
        return false; 
	
    boolean added = false;
    for ( int i = 0; i < dates.size() && !added; i++ ) {
        Date nextDate = dates.get( i );

        if ( date.before( nextDate )) {
            dates.add( i, date );
            added = true;
        }
    }
    if ( !added ) {
        dates.add( date );
    }
    return true;
} 
"
29852582,genSql,generate the code in pure java form," generate the sql connection to the target host ","

public void genSql() throws PositionedError {
    try {
        SqlcPrettyPrinter spp;
        spp = new SqlcPrettyPrinter( ref.getFile() );
        spp.printCUnit( elems );
        spp.close();
    } catch ( IOException ioe ) {
        ioe.printStackTrace();
        System.err.println( ""cannot write: "" + ref.getFile() );
    }
} 
"
39233258,getJSplitPane,this method initializes j split pane," this method initializes j split pane ","

private JSplitPane getJSplitPane() {
    if ( jSplitPane == null ) {
        jSplitPane = new JSplitPane();

        DevicesTreePanel p = new DevicesTreePanel();
        p.addSelectionChangeListener( this );
        jSplitPane.setLeftComponent( p );
        jSplitPane.setRightComponent( getJTabbedPane() );

        jSplitPane.setDividerSize( 5 );
        jSplitPane.setDividerLocation( 200 );
    }
    return jSplitPane;
} 
"
33719607,testGetClassification,test of get classification method of class com," test of get classification method of class vgrabber ","

public void testGetClassification() {
    System.out.println( ""getClassification"" );
    SystemClient_DBImpl instance = new SystemClient_DBImpl();
        
    Set expResult = null;
    Set result = instance.getClassification();
    assertEquals( expResult, result );
        
    // TODO review the generated test code and remove the default call to fail.
    fail( ""The test case is a prototype."" );
} 
"
38221424,removeService,removes service from this main form," removes a service from the registry ","

public void removeService( String type ) {
    CService service = ( CService ) services.get( type );

    if ( service != null ) {
        service.unsetContext();
        services.remove( type );
        fireServiceChanged( new CServiceEvent( this, service, CServiceEvent.REMOVED ));
    }
} 
"
45047585,exportXVRL,transform the validation report object into a xmlstream writer," export the given message to the given output stream ","

public void exportXVRL( XMLStreamWriter xvrLDoc ) throws Exception{
    JAXBContext context = JAXBContext.newInstance( ValidationReport.class );
    Marshaller m = context.createMarshaller();
    m.setProperty( Marshaller.JAXB_FORMATTED_OUTPUT, true );
    ValidationReport vReport = exportVReport();

    if ( vReport != null ) m.marshal( vReport, xvrLDoc );
} 
"
27801498,setBinWidth,sets the bin width and repaints," set the bin width component ","

public void setBinWidth ( double new_bin_width ) {
    double old_bin_width = binWidth;
    binWidth = new_bin_width;
    pcs.firePropertyChange( ""binWidth"",
              new Double( old_bin_width ),
              new Double( new_bin_width ));
    repaint();
} // setBinWidth( double ) 
"
29859244,split,each token of the line is an element of the list," split a line to the current list of characters ","

private List split( String line ) {
    List result;

    if ( line == null ) {
        result = new ArrayList();
    } else {
        StringTokenizer tok;
        tok = new StringTokenizer( line, "","" );
        result = new ArrayList( tok.countTokens() );

        while( tok.hasMoreTokens() ) {
            result.add( tok.nextToken() );
        }
    }
    return result;
} 
"
38221537,addDigit,adds the digit to the indicator text editor," adds a digit character pair to the list of digits ","

private void addDigit( char digit ) {
    if ( digit == '0' && value.equals( ""0"" )) return;
    if ( value.equals( ""0"" )) value = """";
    if ( update ) {
        value = """";
        minus = false;
        comma = false;
    }
    update = false;
    value += digit;
    showValue();
} 
"
47571713,saveToFile,save the move sets to a file," saves the file to the file ","

public void saveToFile( File f ) {
    try {
        FileOutputStream file = new FileOutputStream( f );
        saveToFile( file );
        file.close();
    } catch ( FileNotFoundException e ) {
        e.printStackTrace();
    } catch ( IOException e ) {
        e.printStackTrace();
    }
} 
"
16958722,indexToLetter,converts the given integer into a character for the coordinate system," returns the index of the given letter if the index is valid","

public String indexToLetter( int index ) {
    if ( index == 0 )
        return ""a"";
    else if ( index == 1 )
        return ""b"";
    else if ( index == 2 )
        return ""c"";
    else if ( index == 3 )
        return ""d"";
    else if ( index == 4 )
        return ""e"";
    else if ( index == 5 )
        return ""f"";
    else if ( index == 6 )
        return ""g"";
    else if ( index == 7 )
        return ""h"";
    else if ( index == 8 )
        return ""i"";
    else if ( index == 9 )
        return ""j"";
    else
        return null;
} 
"
34413807,close,notifies all views to de register from their view controllers," close the current preferences ","

public void close(){
    Tabpanel tempPanel = null;
    View tempView = null;
    List< ? > list;
    Enumeration< Tabbox > tabs = primaryTabMap.keys();

    while ( tabs.hasMoreElements() ) {
        list = tabs.nextElement().getTabpanels().getChildren();
        Iterator< ? > itr = list.iterator();

        while( itr.hasNext() ){
            tempPanel = ( Tabpanel )itr.next();
            tempView = ( View )tempPanel.getChildren().get( 0 );
            tempView.deregisterView();
        }
    }
} 
"
34427273,populateNewList,helper method which populates the gui list for resources which are new at," populates the new list with the specified <UNK> ","

private void populateNewList() {
    newResources = mergeNewResources();
    SwingUtilities.invokeLater( new Runnable() {
        @SuppressWarnings( ""synthetic-access"" )
        @Override
        public void run() {
            newListModel.clear();
            for ( Wrapper wr : newResources )
                newListModel.addElement( wr );
        }
    });
} 
"
49250848,isInvalidEmailLink,returns code true code if this link is an invalid email address link," checks if the email address is invalid email address ","

public boolean isInvalidEmailLink() {
    return textLink.contains( ArticleLink.EMAIL_AT_SEPARATOR ) &&
        !textLink.toLowerCase( Locale.getDefault()).startsWith( ""mailto:"" ) && //$NON-NLS-1$
        wikiFileURL.getWikiFileName( true ).contains( ArticleLink.EMAIL_AT_SEPARATOR );
} 
"
15689897,getAll,returns all the values associated with the given key," get all the key value for the given key ","

public List getAll( Object key ) {
    Object value = mMap.get( key );

    if ( value instanceof List ) {
        return (( List )value );
    }
    else {
        List list = new ArrayList();

        if ( value != null || mMap.containsKey( key )) {
            list.add( value );
        }
        mMap.put( key, list );
        return list;
    }
} 
"
40865383,getBackCommand12,returns an initiliazed instance of back command12 component," returns an initiliazed instance of back command12 component ","

public Command getBackCommand12() {
    if ( backCommand12 == null ) {//GEN-END:|264-getter|0|264-preInit
        // write pre-init user code here
        backCommand12 = new Command( ""OK"", Command.BACK, 0 );//GEN-LINE: | 264-getter | 1 | 264-postInit
        // write post-init user code here
    }//GEN-BEGIN: | 264-getter | 2 |
    return backCommand12;
} 
"
45891169,removeView,removes a small view from the scenario list," removes the view from the view ","

public void removeView( StateViewSmall view ) {
    view.setVisible( false );
    // remove from scenario
    int removedPosition = indexOfView( view );
    mScenarioPanel.remove( removedPosition );
    // take care of the big ( detailed ) view

    if ( mCurrentSmallView != null && mCurrentSmallView.equals( view )) {
        mCurrentBigView.setVisible( false );
        mCurrentBigView = null;
        mCurrentSmallView = null;
    }
    // compute the new number of pixels per scenario position
    mTimeBar.scaleNumberOfPixelsPerPosition();
    refresh();
} 
"
50994916,setPhoto,set the jdai photo to display," sets the photo ","

public void setPhoto( JdaiPhoto photo ) {
    String text = null;

    if ( photo != null ) {
        label.setText( """" );
        try {
            text = photo.getSection().getInfoStore().getCaption(photo);
        } catch ( JdaiReadException e ) {
            JdaiGuiHelpers.reportException( ""Unable to read caption"", e );
        }
        if ( text == null || text.equals( """" ) )
            text = ""No caption set"";
    } else {
        label.setIcon( null );
    }
    label.setToolTipText( text );
    setNewPhoto( photo );
} 
"
22625582,setUrls,sets the value of urls and normalizes them," set the urls ","

public void setUrls( String[] theUrls ) throws IllegalStateException {
    if ( xmlProcessed )
        throw new IllegalStateException( illegalPostProssingMsg );
		
    if( theUrls != null ) {
        this.urls = new String [ theUrls.length ];
        for( int i = 0; i < theUrls.length; i++ )
            this.urls[ i ] = UrlHelper.normalize( theUrls[ i ]);
    }
    else
        this.urls = urls;
} 
"
18421665,searchRecipe,this function searches a recipe starting with the recipe passed as parameter," creates a recipe that contains the given templates ","

private Recipe searchRecipe ( Recipe re ) {	
    Recipe recipe;
		
    for ( IngredientAmount iam : re.getIngredients() ) {
        if ( iam.getFood() instanceof Recipe ) {
            if (( Recipe )iam.getFood() == m_ActiveRecipe ) {
                return re;
            } else {
                recipe = searchRecipe (( Recipe ) iam.getFood());
					
                if ( recipe != null ) {
                    return recipe;
                }
            }
        }			
    }		
    return null;
} 
"
18420500,getUnitCombo,this method initializes m unit combo," this method initializes unit combo ","

private JComboBox getUnitCombo() {
    if ( m_UnitCombo == null ) {
        m_UnitCombo = new JComboBox();
        m_UnitCombo.setBounds( 87, 83, 125, 22 );
        m_UnitCombo.setModel( getUnitComboModel() );
    }
    if ( m_FreePara.getUnit() != null ) {
        m_UnitCombo.setSelectedItem( m_FreePara.getUnit() );
    }
    return m_UnitCombo;
} 
"
29601536,getBackCommand2,returns an initiliazed instance of back command2 component," returns an initiliazed instance of back command2 component ","

public Command getBackCommand2() {
    if ( backCommand2 == null ) {//GEN-END:|92-getter|0|92-preInit
        // write pre-init user code here
        backCommand2 = new Command( ""Back"", Command.BACK, 0 );//GEN-LINE:| 92-getter | 1 | 92-postInit
    // write post-init user code here
    }//GEN-BEGIN:| 92-getter | 2 |
    return backCommand2;
} 
"
1810081,onAttach,this method is called when a widget is attached to the browsers document," invoked when the add button is pressed ","

protected void onAttach() {
    if ( attached )
        return;

    attached = true;

    // Set the main element's event listener. This should only be set
    // while the widget is attached, because it creates a circular
    // reference between JavaScript and the DOM.
    DOM.setEventListener( getElement(), this );

    // Now that the widget is attached, call onLoad().
    onLoad();
} 
"
19282261,countQuery,performs a query and returns the count of objects the criteria specified," counts the number of queries in the database ","

protected int countQuery( final Query query ) throws PersistenceException {
    if ( query != null ){
        if ( pride2Broker != null ){
            return pride2Broker.getCount( query );
        }
        else {
            throw new PersistenceException( ""Query called on uninitialized PersistenceBroker"", null );
        }
    }
    else {
        throw new PersistenceException( ""No query specified!"", null );
    }
} 
"
31203037,addToTechnicalComment,adds to the technical comment about this project," adds a comment to an instance of a <UNK> ","

public void addToTechnicalComment( final String add_to_technical_comment ) {
    if ( getTechnicalComment() != null && getTechnicalComment().length() > 0 ) {
        setTechnicalComment( getTechnicalComment() + ""|n"" + add_to_technical_comment );
    }
    else {
        setTechnicalComment( add_to_technical_comment );
    }
} 
"
35553511,refreshTreePanel,refresh tree panel," refreshes the tree panel ","

public void refreshTreePanel() {
    root.removeAllChildren();

    root = new DefaultMutableTreeNode( ""ALL"" );
    treeModel = new DefaultTreeModel( root );
    tree.setModel( treeModel );
    tree.setBounds( new Rectangle( 0, 0, 196, 443 ));
    tree.setLayout( null );
    tree.setBackground( Color.white );
    tree.setCellRenderer( new UserIconRenderer() );

    addAllUsers();

    TreePath treePath = tree.getPathForRow( 0 );
    tree.fireTreeExpanded( treePath );
} 
"
26215341,updateGain,set the volume," update the gain factor ","

private void updateGain() {
    int pos = getValue();
    int value = (int) ( 127 * ( double ) ( pos / 100.0 ));
    MidiChannel[] cs = synthesizer.getChannels();

    for( int I = 0; I < cs.length; i++ ) {
        cs[ i ].controlChange( 7, value );
    }
} 
"
10222579,equals,indicates whether some other object is equal to this one," compares this object against the specified object ","

public boolean equals( Object obj ) {
    if ( obj == null || ( obj.getClass() != getClass() )) {
        return false;
    }
    CSSConditionalSelectorImpl s = ( CSSConditionalSelectorImpl ) obj;
    return ( s.simpleSelector.equals( simpleSelector ) && s.condition.equals( condition ));
} 
"
4280405,getFiles,returns the files represented by the given fileset," returns the list of files that have a file set ","

public List getFiles( FileSet fileSet ) {
    List files = new ArrayList();
    String[] names = fileSet.getDirectoryScanner( project ).getIncludedFiles();

    for ( int i = 0; i < names.length; i++ ) {
        String name = names[ i ];
        files.add( new File( fileSet.getDir( project ), name ));
    }
    return files;
} 
"
1782360,getImageWithSource,returns the first image found in the page with the specified src attribute," returns a web image with the source code ","

public WebImage getImageWithSource( String source ) {
    WebImage[] images = getImages();

    for ( int i = 0; i < images.length; i++ ) {
        if ( HttpUnitUtils.matches( source, images[ i ].getSource() )) return images[ i ];
    }
    return null;
} 
"
40865212,getBackCommand22,returns an initiliazed instance of back command2 component," returns an initiliazed instance of back command2 component ","

public Command getBackCommand2() {
    if ( backCommand2 == null ) {//GEN-END: | 233-getter | 0 | 233-preInit
        // write pre-init user code here
        backCommand2 = new Command( ""OK"", Command.BACK, 0 );//GEN-LINE: | 233-getter | 1 | 233-postInit
        // write post-init user code here
    }//GEN-BEGIN: | 233-getter | 2 |
    return backCommand2;
} 
"
19413001,messageSent,listens for output of the command," invoked when a message was sent to a message ","

public void messageSent( MessageEvent e ) {
    String str = e.getMessage();

    if ( str.endsWith( DIR_ADDED )) {
        str = str.substring( DIRECTORY.length(), str.indexOf( DIR_ADDED )).trim();
        createCvsFiles( str );
    }
    super.messageSent( e );
} 
"
19280843,getInstitutions,this method returns a collection or institution bean objects," returns the list of institutions in the database ","

public Collection getInstitutions() {
    try {
        if ( iInstitutions == null ) {
            refreshInstitutions();
            logger.debug( ""Institutions were null while getting them. Attempting to refresh."" );
        }
        return iInstitutions;
    }
    catch ( Exception e ) {
        logger.warn( e.getMessage(), e );
        return Collections.EMPTY_LIST;
    }
} 
"
19498298,testOccThm,all other tests only check for occurrences in axioms," test the value of input and target ","

public void testOccThm() throws Exception {
    final IContextRoot context = ResourceUtils.createContext( rodinProject, CTX_BARE_NAME, CST_1DECL_1REF_THM );
    final IConstant cst1 = context.getConstant( INTERNAL_ELEMENT1 );
    final IDeclaration declCst1 = newDecl( cst1, CST1 );
    final IAxiom thm = context.getAxiom( INTERNAL_ELEMENT1 );
    final IOccurrence occRef = makeRefPred( thm, 9, 13, declCst1 );
    final BridgeStub tk = new BridgeStub( context );
    final ContextIndexer indexer = new ContextIndexer();

    assertTrue( indexer.index( tk ));

    tk.assertOccurrencesOtherThanDecl( cst1, occRef );
} 
"
40879350,getOkCommand18,returns an initiliazed instance of ok command18 component," returns an initiliazed instance of ok command18 component ","

public Command getOkCommand18() {
    if ( okCommand18 == null ) {//GEN-END: | 728-getter | 0 | 728-preInit
        // write pre-init user code here
        okCommand18 = new Command( ""LIQUIDEZ"", Command.OK, 0 );//GEN-LINE: | 728-getter | 1 | 728-postInit
        // write post-init user code here
    }//GEN-BEGIN: | 728-getter | 2 |
    return okCommand18;
} 
"
12723449,abstractMatrix3D,self modifying version of view dice," returns a new <UNK> that is the <UNK> of the <UNK> ","
 
protected AbstractMatrix3D vDice( int axis0, int axis1, int axis2 ) {
    super.vDice( axis0, axis1, axis2 );
	
    // swap offsets
    int[][] offsets = new int[ 3 ][];
    offsets[ 0 ] = this.sliceOffsets;
    offsets[ 1 ] = this.rowOffsets;
    offsets[ 2 ] = this.columnOffsets;

    this.sliceOffsets = offsets[ axis0 ];
    this.rowOffsets = offsets[ axis1 ];
    this.columnOffsets = offsets[ axis2 ];

    return this;
} 
"
34105249,makeUniqueParagraphForGlobalWithLength,used to create a paragraph of unique words with varying lengths," make a new paragraph paragraph for a given length ","

public void makeUniqueParagraphForGlobalWithLength( String global, int length ) {
    String paragraph = """";
    String word;

    for ( int x = 0; x < length; x++ ) {
        word = makeUniqueStringForGlobalWithLength( global, ( int )( Math.random() * 8 ) + 2 );
        paragraph += word + "" "";
    }
    utils.setGlobal( global, paragraph );
} 
"
43040436,init2,initializes the class," initializes the package ","

private void init() throws CoreException {
    final String name = getClassName();
    final IPackageFragment pkg = getPackage();
    final ICompilationUnit unit = pkg.createCompilationUnit( name + "".java"", """", true, null );
    setUp( unit );
    createMainType( PUBLIC_KEYWORD, pkg.getElementName(), getClassName() );
} 
"
36405409,appendDeclarations,p append declarations needed by the code note converter code to," append <UNK> of type <UNK> to the given ","

public void appendDeclarations( LaTeXDocumentPortion pack, LaTeXDocumentPortion decl ) {
    if ( bContainsEndnotes ) { 
        pack.append( ""\\usepackage{endnotes}"" ).nl(); 
    }
    if ( bContainsFootnotes ) convertFootnotesConfiguration( decl );
    if ( bContainsEndnotes ) convertEndnotesConfiguration( decl );
} 
"
